Country,Year,AverageMagnitude,AverageTemperature
GREECE,2000,5.65,60.212
TURKEY,2000,5.775,53.96345
GREECE,2001,5.5,60.67685
TURKEY,2001,5.5,55.909850000000006
GREECE,2002,5.825000000000001,60.120200000000004
IRAN,2002,6.05,66.45635
TURKEY,2002,6.0,54.2102
GREECE,2003,5.9,59.85065
TURKEY,2003,5.86,54.1964
GREECE,2004,5.6,59.8202
IRAN,2004,6.3,66.46985000000001
PAKISTAN,2004,5.5,71.85754999999999
TURKEY,2004,5.633333333333333,54.1583
PAKISTAN,2005,5.840000000000001,70.29035
TURKEY,2005,5.640000000000001,54.37925
GREECE,2006,6.7,59.3828
IRAN,2006,6.1,66.58145
GREECE,2007,5.7,60.949850000000005
IRAN,2007,5.5,65.73275000000001
TURKEY,2007,5.625,55.0676
GREECE,2008,6.300000000000001,60.89885
PAKISTAN,2009,5.5,71.44055
GREECE,2010,5.5,61.46825000000001
IRAN,2010,5.65,68.1623
TURKEY,2010,5.85,57.70700000000001
TURKEY,2011,5.822222222222222,53.4461
GREECE,2012,5.8,60.8711
IRAN,2012,6.300000000000001,66.1274
